dataset,method,sequence,frames,evaluated_frames,absent_frames,success_auc,average_overlap,sr_0.50,sr_0.75,precision_10px,precision_20px,normalized_precision_auc,mean_iou,mean_center_error_px,median_center_error_px,rmse_center_error_px,iou_lt_0.1
UAV2UAV,SUTrack-B224,test10_jl_hbd_4,287,287,0,0.05276256844201095,0.006668749629776331,0.003484320557491289,0.003484320557491289,0.003484320557491289,0.003484320557491289,0.004645760743321719,0.006668749629776331,688.1318696042041,586.5956783758697,813.7519035924722,0.9860627177700348
UAV2UAV,SUTrack-B224,test10_jl_hbd_5,309,309,0,0.7096625057790106,0.7195738863078717,0.8349514563106796,0.6245954692556634,0.7378640776699029,0.8543689320388349,0.7299955580937877,0.7195738863078717,10.211671980636552,3.134645181334206,20.026939996930867,0.012944983818770227
UAV2UAV,SUTrack-B224,test10_jl_hbd_6,184,184,0,0.812888198757764,0.8278473597120444,1.0,0.8097826086956522,0.8804347826086957,0.9456521739130435,0.8513427109974425,0.8278473597120444,5.919418006208708,2.7842857833501116,11.897401401946619,0.0
UAV2UAV,SUTrack-B224,test10_jl_hbd_7,138,138,0,0.36024844720496885,0.3395082916201127,0.391304347826087,0.2898550724637681,0.41304347826086957,0.4492753623188406,0.3321966467746519,0.3395082916201127,206.5898087857692,72.45468307629122,315.3347679155554,0.5362318840579711
UAV2UAV,SUTrack-B224,test10_jl_hbd_8,123,123,0,0.8552071234998065,0.8700201847535793,0.975609756097561,0.9024390243902439,0.7642276422764228,0.9186991869918699,0.8823529411764706,0.8700201847535793,7.658674486939134,5.62965304767199,11.117584618792225,0.0
UAV2UAV,SUTrack-B224,test10_jl_hbd_9,341,341,0,0.8567239212400501,0.8739766784590671,1.0,0.967741935483871,0.841642228739003,0.9736070381231672,0.9026507963889367,0.8739766784590671,6.1981659853043425,4.451787503498099,8.754642085385568,0.0
UAV2UAV,SUTrack-B224,test11_dj_1,260,260,0,0.7597069597069598,0.773316003480554,0.9769230769230769,0.676923076923077,0.8653846153846154,0.9461538461538461,0.9070135746606335,0.773316003480554,5.556209082776999,2.886381221384865,10.934301663291317,0.0
UAV2UAV,SUTrack-B224,test11_dj_2,625,625,0,0.7959619047619048,0.8097453395148766,0.9952,0.8864,0.8144,0.9584,0.9349019607843138,0.8097453395148766,7.0323900541971645,5.506395583177798,9.669916451183596,0.0
UAV2UAV,SUTrack-B224,test11_dj_3,215,215,0,0.7884828349944628,0.8044477871014947,0.9953488372093023,0.8930232558139535,0.7953488372093023,0.9627906976744186,0.9207478340173278,0.8044477871014947,7.604200975991257,5.43104671212307,11.288202464808807,0.0
UAV2UAV,SUTrack-B224,test11_dj_4,564,564,0,0.8343465045592705,0.8500751388830603,1.0,0.9450354609929078,0.8173758865248227,0.9645390070921985,0.9357182589347796,0.8500751388830603,6.892646048138802,5.6841017153169675,8.981411944982352,0.0
UAV2UAV,SafeCL-IMMTrack,test1_DJI_0081_1,217,217,0,0.7559798112793505,0.7690715097185072,0.9493087557603687,0.7880184331797235,0.8847926267281107,0.9493087557603687,0.7631697840426493,0.7690715097185072,17.52332416519143,5.984940637971744,54.586156684275515,0.04608294930875576
UAV2UAV,SafeCL-IMMTrack,test1_DJI_0081_2,729,729,0,0.8923509046965837,0.91034866487621,1.0,0.99039780521262,0.8161865569272977,0.9849108367626886,0.9430592538798783,0.91034866487621,6.115799692865749,4.6710750269258545,7.73872148498851,0.0
UAV2UAV,SafeCL-IMMTrack,test1_DJI_0081_3,129,129,0,0.7711332595053525,0.7831239138486948,0.937984496124031,0.751937984496124,0.6821705426356589,0.9147286821705426,0.8013375892992857,0.7831239138486948,8.531468412685067,7.040571606512501,10.914795138077476,0.0
UAV2UAV,SafeCL-IMMTrack,test1_DJI_0081_4,314,314,0,0.8290870488322717,0.8461397386147563,1.0,0.8853503184713376,1.0,1.0,0.9008992131884601,0.8461397386147563,2.4276074299944965,2.1393841910973865,2.8748308155541733,0.0
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_1,400,400,0,0.9013095238095239,0.9214821616673392,1.0,0.9775,0.715,0.92,0.9375,0.9214821616673392,8.283116289965285,5.927155734761767,11.620438271193674,0.0
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_2,319,319,0,0.8341543513957306,0.8506510661047259,0.9467084639498433,0.8589341692789969,0.7648902821316614,0.8714733542319749,0.8477472493699675,0.8506510661047259,10.011718712738341,3.801005554407466,20.947178615628353,0.009404388714733543
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_3,165,165,0,0.10764790764790763,0.0724489506890763,0.030303030303030304,0.01818181818181818,0.012121212121212121,0.01818181818181818,0.028401663695781346,0.0724489506890763,761.8694190772042,1024.019423636925,934.2008623691199,0.7454545454545455
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_4,200,200,0,0.8526190476190475,0.8686754365486141,1.0,0.93,0.94,0.99,0.8926470588235293,0.8686754365486141,3.4268345677634486,2.261880193509615,5.142743454427834,0.0
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_5,302,302,0,0.8607694733522547,0.8786697051299099,0.9867549668874173,0.8940397350993378,0.6986754966887417,0.9139072847682119,0.885014933125568,0.8786697051299099,8.647979325655722,6.0712661535958645,12.280155361025823,0.0
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_6,516,516,0,0.798172757475083,0.8122679807034103,0.9593023255813954,0.7558139534883721,0.8643410852713178,0.9554263565891473,0.8322693418452654,0.8122679807034103,5.702330368174015,2.4915070747358614,14.083699575799525,0.005813953488372093
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_7,159,159,0,0.2458820005989818,0.23328267268242286,0.025157232704402517,0.012578616352201259,0.012578616352201259,0.025157232704402517,0.06622271550129487,0.23328267268242286,56.847781634951346,53.28781881453368,60.38714276681539,0.23270440251572327
UAV2UAV,SafeCL-IMMTrack,test3_DJI_0087_8,211,211,0,0.8616565109456105,0.879361209391597,1.0,0.8909952606635071,0.9052132701421801,1.0,0.8872781340024162,0.879361209391597,4.315867802346087,2.9336900783205264,5.6523746398350685,0.0
UAV2UAV,SafeCL-IMMTrack,test4_DJI_0101_1,986,986,0,0.8105863034869122,0.8260385217674444,0.9989858012170385,0.8630831643002028,0.9645030425963489,1.0,0.9281907489161993,0.8260385217674444,3.74435780104868,2.9107193110437795,4.645079048419458,0.0
UAV2UAV,SafeCL-IMMTrack,test4_DJI_0101_2,556,556,0,0.7696128811236724,0.7821310607457114,0.9838129496402878,0.6205035971223022,0.670863309352518,0.9424460431654677,0.896882494004796,0.7821310607457114,8.703965246897445,7.127654613056577,11.258265678224532,0.0
UAV2UAV,SafeCL-IMMTrack,test4_DJI_0101_3,248,248,0,0.565284178187404,0.5618343979545715,0.6895161290322581,0.4435483870967742,0.5282258064516129,0.6774193548387096,0.5972485768500949,0.5618343979545715,105.6740212788825,9.060687916501818,204.363349171993,0.24193548387096775
UAV2UAV,SafeCL-IMMTrack,test4_DJI_0101_4,836,836,0,0.7219753930280246,0.7323226763673442,0.8875598086124402,0.6064593301435407,0.8576555023923444,0.9389952153110048,0.8376020264565156,0.7323226763673442,11.202855879134574,3.2573600032713994,43.19271021968794,0.019138755980861243
UAV2UAV,SafeCL-IMMTrack,test5_DJI_0102_1,60,60,0,0.6388888888888888,0.6461823462354647,0.6666666666666666,0.43333333333333335,0.55,0.6833333333333333,0.7130718954248365,0.6461823462354647,18.71127077123596,6.756857303070712,28.20938973220842,0.016666666666666666
UAV2UAV,SafeCL-IMMTrack,test5_DJI_0102_2,306,306,0,0.813569872393402,0.8285616452198994,0.9575163398692811,0.8202614379084967,0.8529411764705882,0.9444444444444444,0.8530052543893375,0.8285616452198994,5.480495431217748,2.47081465314647,9.340228143906973,0.0
UAV2UAV,SafeCL-IMMTrack,test5_DJI_0102_3,217,217,0,0.8308097432521396,0.8476637717416114,0.9953917050691244,0.8294930875576036,0.7695852534562212,0.9078341013824884,0.8598536188669017,0.8476637717416114,7.421676155182484,3.812595932644412,11.566552388812196,0.0
UAV2UAV,SafeCL-IMMTrack,test5_DJI_0102_4,676,676,0,0.8038884192730346,0.8195557823474753,0.9600591715976331,0.7973372781065089,0.9585798816568047,0.9985207100591716,0.8636442742777586,0.8195557823474753,2.5632620385676232,1.358147875349154,4.025655084365175,0.0
UAV2UAV,SafeCL-IMMTrack,test6_DJI_0103_1,1544,1544,0,0.7462065136935603,0.7588568169885769,0.9462435233160622,0.6139896373056994,0.8536269430051814,0.9533678756476683,0.8227293508076804,0.7588568169885769,11.193396682447721,3.375694980995913,76.46937072679577,0.006476683937823834
UAV2UAV,SafeCL-IMMTrack,test6_DJI_0103_2,451,451,0,0.16334072431633412,0.1256631852938891,0.15521064301552107,0.09090909090909091,0.08425720620842572,0.12416851441241686,0.13168992652493366,0.1256631852938891,689.3856256909106,790.1857944151745,795.0901489262706,0.8292682926829268
