dataset,sequence_id,sequence,method,evaluated_frames,success_auc
UAV2UAV-2,S33,test5_DJI_0102_4,ARTrackV2-B-256,676,0.705409974640744
UAV2UAV-2,S33,test5_DJI_0102_4,MCITrack-B224,676,0.7562693716539869
UAV2UAV-2,S33,test5_DJI_0102_4,UETrack-B,676,0.09101155255001411
UAV2UAV-2,S33,test5_DJI_0102_4,RLSM-IMMTrack,676,0.8052268244575936
UAV2UAV-2,S34,test6_DJI_0103_1,SUTrack-B224,1544,0.7460831482852208
UAV2UAV-2,S34,test6_DJI_0103_1,ARTrackV2-B-256,1544,0.7048174191956574
UAV2UAV-2,S34,test6_DJI_0103_1,MCITrack-B224,1544,0.7607327905255366
UAV2UAV-2,S34,test6_DJI_0103_1,UETrack-B,1544,0.7086725882062671
UAV2UAV-2,S34,test6_DJI_0103_1,RLSM-IMMTrack,1544,0.7491364421416234
UAV2UAV-2,S35,test6_DJI_0103_2,SUTrack-B224,451,0.16175694224474715
UAV2UAV-2,S35,test6_DJI_0103_2,ARTrackV2-B-256,451,0.13124274099883856
UAV2UAV-2,S35,test6_DJI_0103_2,MCITrack-B224,451,0.16017316017316016
UAV2UAV-2,S35,test6_DJI_0103_2,UETrack-B,451,0.1563720832013515
UAV2UAV-2,S35,test6_DJI_0103_2,RLSM-IMMTrack,451,0.16334072431633412
UAV2UAV-2,S36,test6_DJI_0103_3,SUTrack-B224,103,0.05686546463245492
UAV2UAV-2,S36,test6_DJI_0103_3,ARTrackV2-B-256,103,0.05686546463245492
UAV2UAV-2,S36,test6_DJI_0103_3,MCITrack-B224,103,0.05686546463245492
UAV2UAV-2,S36,test6_DJI_0103_3,UETrack-B,103,0.05686546463245492
UAV2UAV-2,S36,test6_DJI_0103_3,RLSM-IMMTrack,103,0.05686546463245492
UAV2UAV-2,S37,test6_DJI_0103_4,SUTrack-B224,1566,0.7325913762695372
UAV2UAV-2,S37,test6_DJI_0103_4,ARTrackV2-B-256,1566,0.7916742686857628
UAV2UAV-2,S37,test6_DJI_0103_4,MCITrack-B224,1566,0.802803624642705
UAV2UAV-2,S37,test6_DJI_0103_4,UETrack-B,1566,0.7125828620081494
UAV2UAV-2,S37,test6_DJI_0103_4,RLSM-IMMTrack,1566,0.7344158608526425
UAV2UAV-2,S38,test6_DJI_0103_5,SUTrack-B224,1051,0.7337229849123285
UAV2UAV-2,S38,test6_DJI_0103_5,ARTrackV2-B-256,1051,0.2576231253681301
UAV2UAV-2,S38,test6_DJI_0103_5,MCITrack-B224,1051,0.7614063703502332
UAV2UAV-2,S38,test6_DJI_0103_5,UETrack-B,1051,0.46300575415703854
UAV2UAV-2,S38,test6_DJI_0103_5,RLSM-IMMTrack,1051,0.7339042182048843
UAV2UAV-2,S39,test7_DJI_0106_1,SUTrack-B224,768,0.8886408730158729
UAV2UAV-2,S39,test7_DJI_0106_1,ARTrackV2-B-256,768,0.8788442460317459
UAV2UAV-2,S39,test7_DJI_0106_1,MCITrack-B224,768,0.8698536706349204
UAV2UAV-2,S39,test7_DJI_0106_1,UETrack-B,768,0.8591889880952381
UAV2UAV-2,S39,test7_DJI_0106_1,RLSM-IMMTrack,768,0.8886408730158729
UAV2UAV-2,S40,test7_DJI_0106_2,SUTrack-B224,243,0.8728199098569469
UAV2UAV-2,S40,test7_DJI_0106_2,ARTrackV2-B-256,243,0.8638056045463453
UAV2UAV-2,S40,test7_DJI_0106_2,MCITrack-B224,243,0.8734077993337253
UAV2UAV-2,S40,test7_DJI_0106_2,UETrack-B,243,0.8491083676268861
UAV2UAV-2,S40,test7_DJI_0106_2,RLSM-IMMTrack,243,0.8728199098569469
UAV2UAV-2,S41,test7_DJI_0106_3,SUTrack-B224,446,0.8821268417680976
UAV2UAV-2,S41,test7_DJI_0106_3,ARTrackV2-B-256,446,0.8727311552423661
UAV2UAV-2,S41,test7_DJI_0106_3,MCITrack-B224,446,0.8792440743113388
UAV2UAV-2,S41,test7_DJI_0106_3,UETrack-B,446,0.8771086910100363
UAV2UAV-2,S41,test7_DJI_0106_3,RLSM-IMMTrack,446,0.8821268417680976
UAV2UAV-2,S42,test8_DJI_0107_1,SUTrack-B224,1683,0.6363353422176952
UAV2UAV-2,S42,test8_DJI_0107_1,ARTrackV2-B-256,1683,0.5736921031038678
UAV2UAV-2,S42,test8_DJI_0107_1,MCITrack-B224,1683,0.6694394929689048
UAV2UAV-2,S42,test8_DJI_0107_1,UETrack-B,1683,0.6281866281866283
UAV2UAV-2,S42,test8_DJI_0107_1,RLSM-IMMTrack,1683,0.6383159324335795
UAV2UAV-2,S43,test8_DJI_0107_2,SUTrack-B224,251,0.7727186492126732
UAV2UAV-2,S43,test8_DJI_0107_2,ARTrackV2-B-256,251,0.7613356099411878
UAV2UAV-2,S43,test8_DJI_0107_2,MCITrack-B224,251,0.817871371656232
UAV2UAV-2,S43,test8_DJI_0107_2,UETrack-B,251,0.7675962815405047
